#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-06-13T08:16:57 [V1.97 (28-Nov-2012)]
#   In case of problem. please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51b97f734b13	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ._DEJ
#-sort=_r
#-nav=cat:II/237&tab:{II/237/colors}&cat:II/66&key:source=Ducati&HTTPPRM:&&-ref=VIZ51b97f734b13&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ._DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=II/237/colors
#-order=I
#-out=recno
#-out=Name
#-out=Doub
#-out=Var
#-out=r_SpType
#-out=SpType
#-out=RAJ1950
#-out=DEJ1950
#-out=Vmag
#-out=U-V
#-out=B-V
#-out=R-V
#-out=I-V
#-out=_RA.icrs
#-out=_DE.icrs
#Simbad=Simbad
#
#
#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati. 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	_RAJ2000	(A10)	Right ascension (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5. Equinox=J2000.0) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	Doub	(A1)	[D13] D if double. 1 for component 1 of the system 3 for component 3 of the system	[ucd=meta.code.multip]
#Column	Var	(A1)	[V] V if variable	[ucd=meta.code;src.var]
#Column	r_SpType	(A1)	[MCYBK FGHPSTW] Source of spectral type (1)	[ucd=meta.ref;pos.frame]
#Column	SpType	(a15)	Spectral type/luminosity class	[ucd=src.spType]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR. not part of the original data)	[ucd=pos.eq.dec]                                                                                          
#Column Bad Phot *      * if bad photometry (use it only for astrometry)                                                                                                         
#Column CommonName
recno ;Name          ;  _RAJ2000  ; _DEJ2000 ; RAJ1950   ; DEJ1950   ; Vmag   ; U-V    ; B-V    ; R-V    ; I-V    ; Doub; Var ;r_SpTy; SpType         ; Bad Phot (*); CommonName
    72;  HD 143275   ; 16 00 20.0; -22 37 14 ; 15 57 22.3; -22 28 49 ;    2.32;   -1.02;   -0.12;    0.04;    0.17;     ;     ; M    ; B0.3 IV        ;  ; Dschubba
    73;  HD  95418   ; 11 01 49.9; +56 22 54 ; 10 58 50.2; +56 39 02 ;    2.37;   -0.02;   -0.02;   -0.06;   -0.02;     ;     ; Y    ; A1   V         ;  ; Merak
    74;  HD   5394   ; 00 56 42.3; +60 43 00 ; 00 53 40.3; +60 26 47 ;    2.39;   -1.21;    -0.1;   -0.07;    0.01; D   ; V   ; Y    ; B0   IV      e ;  ; Cih
    75;  HD 206778   ; 21 44 11.0; +09 52 28 ; 21 41 43.7; +09 38 40 ;    2.39;    3.22;    1.52;   -1.05;   -1.81;    1; V   ; Y    ; K2   Ib        ;  ; Enif
    76;  HD 155125   ; 17 10 22.5; -15 43 34 ; 17 07 30.5; -15 39 53 ;    2.42;    0.14;    0.05;   -0.03;   -0.04; D   ;     ; M    ; A2.5 VA        ;  ; Sabik
    77;  HD 217906   ; 23 03 45.6; +28 04 50 ; 23 01 20.7; +27 48 39 ;    2.42;    3.63;    1.67;    -1.5;   -2.82;     ; V   ; Y    ; M2.5 II/III    ;  ; Scheat
    78;  HD 103287   ; 11 53 49.2; +53 41 39 ; 11 51 12.5; +53 58 21 ;    2.44;    0.03;       0;       0;    0.03;     ;     ; Y    ; A0   V       e ;  ; Phad
    79;  HD  58350   ; 07 24 05.6; -29 18 10 ; 07 22 06.9; -29 12 14 ;    2.45;    -0.8;   -0.08;   -0.07;   -0.01;     ;     ; M    ; B5   Ia        ;  ; Aludra
    80;  HD 203280   ; 21 18 33.5; +62 35 04 ; 21 17 23.1; +62 22 22 ;    2.45;    0.34;    0.22;   -0.23;   -0.34; D   ;     ; Y    ; A7   V         ;  ; Adleramin
    81;  HD 197989   ; 20 46 11.1; +33 57 56 ; 20 44 11.1; +33 46 55 ;    2.46;     1.9;    1.03;   -0.73;   -1.27;    1;     ; Y    ; K0   III       ;  ; Giennah
    82;  HD 218045   ; 23 04 45.4; +15 12 21 ; 23 02 16.1; +14 56 09 ;    2.48;    -0.1;   -0.04;   -0.01;    0.02;     ;     ; Y    ; B9   V         ;  ; Markab
    83;  HD 105435   ; 12 08 21.5; -50 43 19 ; 12 05 45.3; -50 26 37 ;    2.52;   -1.01;   -0.13;   -0.04;     0.1;     ; V   ; M    ; B2   IV     ne ;  ; DeltaCentauri
    84;  HD  18884   ; 03 02 16.7; +04 05 25 ; 02 59 39.7; +03 53 39 ;    2.53;    3.57;    1.64;   -1.35;   -2.51;     ; V   ; Y    ; M1.5 IIIa      ;  ; Menkar
    85;  HD 121263   ; 13 55 32.5; -47 17 15 ; 13 52 24.4; -47 02 34 ;    2.55;   -1.13;   -0.22;    0.14;    0.34;     ;     ; M    ; B2.5 IV        ;  ; ZetaCentauri
    86;  HD  97603   ; 11 14 05.9; +20 31 30 ; 11 11 27.0; +20 47 51 ;    2.56;    0.23;    0.12;   -0.12;   -0.15;     ;     ; Y    ; A4   V         ;  ; Zosma
    87;  HD 149757   ; 16 37 09.4; -10 34 02 ; 16 34 24.1; -10 28 02 ;    2.56;   -0.83;    0.02;    -0.1;   -0.06;     ; V   ; Y    ; O9.5 V      n  ;  ; ZetaOphiuchi
    88;  HD  36673   ; 05 32 43.7; -17 49 18 ; 05 30 31.3; -17 51 22 ;    2.57;    0.45;     0.2;   -0.22;   -0.43;     ;     ; M    ; F0   Ib        ;  ; Arneb
    89;  HD 106625   ; 12 15 48.8; -17 32 30 ; 12 13 13.7; -17 15 50 ;    2.58;   -0.46;   -0.11;    0.04;    0.13;     ;     ; M    ; B8   III       ;  ; GienahGurab
    90;  HD 144217   ; 16 05 26.1; -19 48 16 ; 16 02 31.4; -19 40 10 ;    2.58;   -0.93;   -0.08;    0.02;    0.11; D   ;     ; M    ; B0.5 V         ;  ; Graffias
    91;  HD  40312   ; 05 59 43.1; +37 12 47 ; 05 56 18.6; +37 12 38 ;    2.62;   -0.26;   -0.08;       0;    0.06; D   ; V   ; Y    ; A0     Si     p;  ; ThetaAurigae
    92;  HD 135742   ; 15 17 00.7; -09 22 56 ; 15 14 18.7; -09 11 57 ;    2.62;   -0.48;   -0.11;    0.05;    0.14;     ;     ; Y    ; B8   V         ;  ; Zubeneschamali
    93;  HD 144217/8 ; 16 05 26.2; -19 48 16 ; 16 02 31.5; -19 40 10 ;    2.62;   -0.94;   -0.07;        ;        ;     ;     ; M    ; B0.5 V/B2V     ;* ;  
    94;  HD 109379   ; 12 34 23.2; -23 23 44 ; 12 31 45.3; -23 07 12 ;    2.64;    1.53;    0.88;   -0.61;   -1.05;     ;     ; M    ; G5   II        ;  ; BetaCorvi
    95;  HD  11636   ; 01 54 38.0; +20 48 32 ; 01 51 52.3; +20 33 50 ;    2.65;    0.23;    0.13;   -0.14;   -0.22;     ;     ; Y    ; A5   V         ;  ; Sharatan
    96;  HD  37795   ; 05 39 38.9; -34 04 24 ; 05 37 50.2; -34 05 57 ;    2.65;   -0.55;   -0.12;       0;    0.09;     ;     ; M    ; B7   IV        ;  ; Phact
    97;  HD 140573   ; 15 44 15.5; +06 25 28 ; 15 41 48.1; +06 34 52 ;    2.65;    2.43;    1.17;   -0.83;    -1.4;    1;     ; Y    ; K2   IIIbCN1   ;  ; Unukalhai
    98;  HD   8538   ; 01 25 46.8; +60 14 08 ; 01 22 31.4; +59 58 33 ;    2.68;    0.26;    0.13;   -0.15;   -0.24;     ; V   ; Y    ; A5   III/IV    ;  ; Ruchbah
    99;  HD 121370   ; 13 54 41.2; +18 24 08 ; 13 52 18.1; +18 38 50 ;    2.68;    0.78;    0.58;   -0.44;   -0.73;     ;     ; Y    ; G0   IV        ;  ; Mufrid
