#
#   VizieR Astronomical Server vizier.u-strasbg.fr 	2011-12-17T22:26:10 [V1.80]
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	-ref=VIZ4eed156b4eb6	
#INFO	-out.max=1000	

#RESOURCE=yCat_2237
#Name: II/237
#Title: Stellar Photometry in Johnson's 11-color system (Ducati, 2002)
#Coosys	J1950:	eq_FK5 J1950
#Table	II_237_colors:
#Name: II/237/colors
#Title: Photometric data in the UBVRIJHKLMN colors
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Name	(a12)	star identification	[ucd=meta.id]
#Column	RAJ1950	(A10)	Right ascension J1950	[ucd=pos.eq.ra;meta.main]
#Column	DEJ1950	(A9)	Declination J1950	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	U-V	(F5.2)	? (U-V) color index	[ucd=phot.color;em.opt.U;em.opt.V]
#Column	B-V	(F5.2)	? (B-V) color index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	R-V	(F5.2)	? (R-V) color index	[ucd=phot.color;em.opt.V;em.opt.R]
#Column	I-V	(F6.2)	? (I-V) color index	[ucd=phot.color;em.opt.V;em.opt.I]
recno	Name	RAJ1950	DEJ1950	Vmag	U-V	B-V	R-V	I-V	CommonName
    2270	 HD 116658  	13 22 33.3	-10 54 03	 0.97	-1.17	-0.23	 0.09	  0.33	Spica
    1482	 HD  62509  	07 42 15.4	+28 08 54	 1.14	 1.86	 1.00	-0.75	 -1.25	Pollux
    3831	 HD 216956  	22 54 53.5	-29 53 16	 1.16	 0.15	 0.09	-0.05	 -0.07	Fomalhaut
    2177	 HD 111123  	12 44 46.9	-59 24 56	 1.25	-1.22	-0.23	 0.13	  0.39	Becrux
    3553	 HD 197345  	20 39 43.4	+45 06 02	 1.25	-0.14	 0.09	-0.11	 -0.21	Deneb
    1782	 HD  87901  	10 05 42.6	+12 12 45	 1.35	-0.47	-0.11	 0.02	  0.12	Regulus
    1323	 HD  52089  	06 56 39.5	-28 54 09	 1.50	-1.14	-0.21	 0.09	  0.30	Adharaz
    1443	 HD  60178/9	07 31 24.6	+31 59 58	 1.58	 0.05	 0.04	-0.07	 -0.06	Castor
     838	 HD  35468  	05 22 26.8	+06 18 22	 1.64	-1.10	-0.22	 0.09	  0.31	Bellatrix
    2143	 HD 108903  	12 28 22.7	-56 50 00	 1.64	 3.37	 1.59	-1.66	 -3.08	Gacrux
     842	 HD  35497  	05 23 07.7	+28 34 02	 1.65	-0.62	-0.13	 0.01	  0.11	Alnath
     967	 HD  37128  	05 33 40.4	-01 13 54	 1.69	-1.21	-0.18	 0.07	  0.24	Alnilam
    1685	 HD  80007  	09 12 39.6	-69 30 38	 1.69	 0.03	 0.00	-0.06	 -0.08	Miaplacidus
    3720	 HD 209952  	22 05 05.4	-47 12 14	 1.71	-0.60	-0.13	 0.04	  0.12	Alnair
    1005	 HD  37742  	05 38 13.9	-01 58 00	 1.77	-1.27	-0.21	 0.07	  0.27	Alnitak
    2204	 HD 112185  	12 51 50.2	+56 13 51	 1.77	-0.01	-0.02	 0.02	  0.05	Aliioth
    1941	 HD  95689  	11 00 39.5	+62 01 15	 1.79	 1.99	 1.07	-0.81	 -1.39	Dubhe
    1537	 HD  68273  	08 07 59.3	-47 11 17	 1.83	-1.19	-0.25	 0.02	  0.17	Suhail
    1365	 HD  54605  	07 06 21.4	-26 18 45	 1.84	 1.22	 0.68	-0.51	 -0.84	Wezen
    3099	 HD 169022  	18 20 51.1	-34 24 35	 1.85	-0.16	-0.03	 0.00	  0.01	Kaus
    2316	 HD 120315  	13 45 34.3	+49 33 43	 1.86	-0.87	-0.19	 0.12	  0.30	Alkaid
    1075	 HD  40183  	05 55 51.5	+44 56 40	 1.90	 0.07	 0.03	-0.08	 -0.07	Menkalinan
    1218	 HD  47105  	06 34 49.3	+16 26 36	 1.92	 0.06	 0.00	-0.06	 -0.05	Alhena
    1146	 HD  44743  	06 20 29.7	-17 55 45	 1.97	-1.20	-0.24	 0.14	  0.38	Murzim
    1705	 HD  81797  	09 25 07.8	-08 26 28	 1.97	 3.17	 1.45	-1.04	 -1.81	Alphard
    1809	 HD  89484  	10 17 13.0	+20 05 42	 1.98	 2.15	 1.15	-0.85	 -1.47	Algeiba
     109	 HD   4128  	00 41 04.7	-18 15 37	 2.01	 1.89	 1.01	-0.72	 -1.23	Deneb	
     277	 HD  12929  	02 04 20.9	+23 13 35	 2.01	 2.28	 1.16	-0.86	 -1.47	Hamal
     246	 HD   8890  	01 48 48.7	+89 01 42	 2.02	 0.98	 0.60	-0.49	 -0.80	Polaris
     162	 HD   6860  	01 06 55.3	+35 21 20	 2.05	 3.53	 1.57	-1.24	 -2.24	Mirach
    2345	 HD 123139  	14 03 43.9	-36 07 28	 2.05	 1.89	 0.99	-0.76	 -1.29	Menkent
      21	 HD    358  	00 05 47.8	+28 48 52	 2.06	-0.58	-0.11	 0.03	  0.13	Alpheratz
    1041	 HD  38771  	05 45 22.9	-09 41 07	 2.06	-1.19	-0.18	 0.03	  0.21	Saiph
    2268	 HD 116656  	13 21 54.9	+55 11 09	 2.06	 0.05	 0.02	 0.04	  0.06	Mizar
    2907	 HD 159561  	17 32 36.6	+12 35 41	 2.07	 0.25	 0.15	-0.14	 -0.22	Rasalhague
    2452	 HD 131873  	14 50 49.6	+74 21 35	 2.08	 3.24	 1.47	-1.11	 -1.87	Kocab
     270	 HD  12533  	02 00 49.0	+42 05 25	 2.10	 2.12	 1.20	-0.94	 -1.63	Alamak
    3793	 HD 214952  	22 39 41.3	-47 08 47	 2.11	 3.22	 1.62	-1.91	 -3.68	BetaGruis
     450	 HD  19356  	03 04 54.4	+40 45 52	 2.12	-0.42	-0.05	-0.04	 -0.01	Algol
    2054	 HD 102647  	11 46 30.5	+14 51 04	 2.14	 0.16	 0.08	-0.06	 -0.08	Denebola
    2161	 HD 110304  	12 38 44.7	-48 41 06	 2.17	-0.02	-0.01	-0.03	 -0.03	GammaCentauri
    1675	 HD  78647  	09 06 09.3	-43 13 48	 2.21	 3.46	 1.65	-1.24	 -2.18	Alsuhail
    2963	 HD 164058  	17 55 26.5	+51 29 37	 2.22	 3.40	 1.52	-1.14	 -1.99	Etamin
     100	 HD   3712  	00 37 39.3	+56 15 47	 2.23	 2.29	 1.17	-0.78	 -1.38	Schedar
    3510	 HD 194093  	20 20 25.9	+40 05 43	 2.23	 1.21	 0.67	-0.49	 -0.83	Sadr
     879	 HD  36486A 	05 29 26.9	-00 20 01	 2.24	-1.28	-0.22	 0.08	  0.30	Mintaka
    2546	 HD 139006  	15 32 34.1	+26 52 53	 2.24	-0.05	-0.02	-0.03	  0.01	Alphekka
    1524	 HD  66811  	08 01 49.5	-39 51 40	 2.25	-1.36	-0.27	 0.11	  0.33	Naos
    1690	 HD  80404  	09 15 45.0	-59 03 52	 2.26	 0.34	 0.18	-0.24	 -0.44	Turais
      23	 HD    432  	00 06 30.2	+58 52 26	 2.27	 0.46	 0.34	-0.30	 -0.50	Caph
    2771	 HD 151680  	16 46 55.1	-34 12 14	 2.29	 2.32	 1.16	-0.86	 -1.46	Wei
    2299	 HD 118716  	13 36 42.3	-53 12 45	 2.30	-1.14	-0.22	 0.15	  0.40	EpsilonCentauri
    2408	 HD 127972  	14 32 19.3	-41 56 20	 2.31	-1.01	-0.19	 0.10	  0.28	EtaCentauri
    2608	 HD 143275  	15 57 22.3	-22 28 49	 2.32	-1.02	-0.12	 0.04	  0.17	Dschubba
    1935	 HD  95418  	10 58 50.2	+56 39 02	 2.37	-0.02	-0.02	-0.06	 -0.02	Merak
     134	 HD   5394  	00 53 40.3	+60 26 47	 2.39	-1.21	-0.10	-0.07	  0.01	Cih
    3677	 HD 206778  	21 41 43.7	+09 38 40	 2.39	 3.22	 1.52	-1.05	 -1.81	Enif
    2835	 HD 155125  	17 07 30.5	-15 39 53	 2.42	 0.14	 0.05	-0.03	 -0.04	Sabik
    3843	 HD 217906  	23 01 20.7	+27 48 39	 2.42	 3.63	 1.67	-1.50	 -2.82	Scheat
    2063	 HD 103287  	11 51 12.5	+53 58 21	 2.44	 0.03	 0.00	 0.00	  0.03	Phad
    1415	 HD  58350  	07 22 06.9	-29 12 14	 2.45	-0.80	-0.08	-0.07	 -0.01	Aludra
    3626	 HD 203280  	21 17 23.1	+62 22 22	 2.45	 0.34	 0.22	-0.23	 -0.34	Adleramin
    3560	 HD 197989  	20 44 11.1	+33 46 55	 2.46	 1.90	 1.03	-0.73	 -1.27	Giennah
    3845	 HD 218045  	23 02 16.1	+14 56 09	 2.48	-0.10	-0.04	-0.01	  0.02	Markab
    2088	 HD 105435  	12 05 45.3	-50 26 37	 2.52	-1.01	-0.13	-0.04	  0.10	DeltaCentauri
     441	 HD  18884  	02 59 39.7	+03 53 39	 2.53	 3.57	 1.64	-1.35	 -2.51	Menkar
    2332	 HD 121263  	13 52 24.4	-47 02 34	 2.55	-1.13	-0.22	 0.14	  0.34	ZetaCentauri
    1972	 HD  97603  	11 11 27.0	+20 47 51	 2.56	 0.23	 0.12	-0.12	 -0.15	Zosma
    2743	 HD 149757  	16 34 24.1	-10 28 02	 2.56	-0.83	 0.02	-0.10	 -0.06	ZetaOphiuchi
     886	 HD  36673  	05 30 31.3	-17 51 22	 2.57	 0.45	 0.20	-0.22	 -0.43	Arneb
    2110	 HD 106625  	12 13 13.7	-17 15 50	 2.58	-0.46	-0.11	 0.04	  0.13	GienahGurab
    2621	 HD 144217  	16 02 31.4	-19 40 10	 2.58	-0.93	-0.08	 0.02	  0.11	Graffias
    1079	 HD  40312  	05 56 18.6	+37 12 38	 2.62	-0.26	-0.08	 0.00	  0.06	ThetaAurigae
    2504	 HD 135742  	15 14 18.7	-09 11 57	 2.62	-0.48	-0.11	 0.05	  0.14	Zubeneschamali
    2148	 HD 109379  	12 31 45.3	-23 07 12	 2.64	 1.53	 0.88	-0.61	 -1.05	BetaCorvi
     252	 HD  11636  	01 51 52.3	+20 33 50	 2.65	 0.23	 0.13	-0.14	 -0.22	Sharatan
    1001	 HD  37795  	05 37 50.2	-34 05 57	 2.65	-0.55	-0.12	 0.00	  0.09	Phact
    2560	 HD 140573  	15 41 48.1	+06 34 52	 2.65	 2.43	 1.17	-0.83	 -1.40	Unukalhai
     188	 HD   8538  	01 22 31.4	+59 58 33	 2.68	 0.26	 0.13	-0.15	 -0.24	Ruchbah
    2331	 HD 121370  	13 52 18.1	+18 38 50	 2.68	 0.78	 0.58	-0.44	 -0.73	Mufrid
    2459	 HD 132058  	14 55 14.7	-42 56 01	 2.68	-1.09	-0.22	 0.10	  0.27	BetaLupi
     746	 HD  31398  	04 53 43.9	+33 05 18	 2.69	 3.31	 1.53	-1.06	 -1.88	Hassaleh
    1900	 HD  93497  	10 44 36.8	-49 09 20	 2.69	 1.47	 0.90	-0.68	 -1.17	MuVelorum
    1394	 HD  56855  	07 15 22.5	-37 00 23	 2.70	 2.87	 1.62	-1.24	 -2.15	PiPuppis
    3362	 HD 186791  	19 43 52.9	+10 29 24	 2.72	 3.21	 1.51	-1.07	 -1.85	Tarazed
    2261	 HD 115892  	13 17 46.7	-36 26 57	 2.73	 0.04	 0.03	-0.05	 -0.04	IotaCentauri	
    2696	 HD 148387  	16 23 18.4	+61 37 36	 2.74	 1.61	 0.91	-0.62	 -1.08	EtaDraconis
    2448	 HD 130841  	14 48 06.3	-15 50 05	 2.75	 0.24	 0.15	-0.14	 -0.18	Zubenelgenubi
    2650	 HD 146051  	16 11 43.3	-03 34 00	 2.75	 3.55	 1.59	-1.29	 -2.32	YedPrior
    1865	 HD  93030  	10 41 10.0	-64 07 54	 2.76	-1.23	-0.22	 0.11	  0.34	ThetaCarinae
    2714	 HD 148856  	16 28 04.0	+21 35 49	 2.77	 1.62	 0.93	-0.64	 -1.12	Kornephoros
    2923	 HD 161096  	17 41 00.0	+04 35 12	 2.78	 2.42	 1.18	-0.82	 -1.40	Cebalrai
      63	 HD   2151  	00 23 09.4	-77 32 09	 2.79	 0.73	 0.62	-0.51	 -0.85	BetaHydri
     780	 HD  33111  	05 05 23.3	-05 08 57	 2.79	 0.23	 0.13	-0.14	 -0.22	Cursa
    2223	 HD 113226  	12 59 41.2	+11 13 37	 2.79	 1.66	 0.92	-0.63	 -1.08	Vindemiatrix
    1530	 HD  67523  	08 05 24.7	-24 09 31	 2.81	 0.62	 0.43	-0.35	 -0.56	RhoPuppis
    2738	 HD 149438  	16 32 45.9	-28 06 49	 2.81	-1.26	-0.25	 0.12	  0.37	TauScorpii
    2754	 HD 150680  	16 39 23.9	+31 41 30	 2.81	 0.86	 0.65	-0.50	 -0.82	ZetaHerculis
    2898	 HD 159181  	17 29 17.9	+52 20 15	 2.81	 1.62	 0.98	-0.69	 -1.17	Rastaban
    3117	 HD 169916  	18 24 53.0	-25 27 03	 2.81	 1.94	 1.04	-0.75	 -1.31	KausBorealis
    3743	 HD 211416  	22 15 05.6	-60 30 33	 2.82	 2.93	 1.36	-1.06	 -1.80	AlphaTucanae
    3689	 HD 207098  	21 44 16.9	-16 21 17	 2.83	 0.39	 0.29	-0.24	 -0.40	DeltaCapricorni
      31	 HD    886  	00 10 39.4	+14 54 21	 2.84	-1.09	-0.23	 0.10	  0.29	Algenib
     258	 HD  12311  	01 57 11.6	-61 48 45	 2.84	 0.49	 0.29	-0.29	 -0.45	AlphaHydri
     851	 HD  36079  	05 26 06.0	-20 47 52	 2.84	 1.29	 0.82	-0.65	 -1.09	Nihal
     563	 HD  24398  	03 50 58.9	+31 44 11	 2.85	-0.66	 0.12	-0.14	 -0.23	Menkib
    2580	 HD 141891  	15 50 42.9	-63 16 41	 2.85	 0.34	 0.29	-0.32	 -0.47	BetaTrianguliAustralis
     545	 HD  23630  	03 44 30.3	+23 57 07	 2.87	-0.43	-0.09	-0.03	  0.01	Alcyone
    1142	 HD  44478  	06 19 56.0	+22 32 27	 2.87	 3.50	 1.64	-1.57	 -2.95	Tejat
    3356	 HD 186882  	19 43 24.6	+45 00 27	 2.87	-0.12	-0.02	 0.01	  0.03	DeltaCygni
    2214	 HD 112413  	12 53 41.5	+38 35 17	 2.88	-0.44	-0.12	 0.10	  0.17	CorCaroli
    3242	 HD 178524  	19 06 47.3	-21 06 16	 2.88	 0.58	 0.34	-0.34	 -0.58	Albaldah
     574	 HD  24760  	03 54 29.3	+39 52 01	 2.89	-1.18	-0.18	 0.07	  0.25	EpsilonPersei
    1421	 HD  58715  	07 24 26.3	+08 23 28	 2.89	-0.37	-0.09	 0.01	  0.07	Gomeisa
    2674	 HD 147165A 	16 18 08.7	-25 28 28	 2.89	-0.57	 0.13	-1.20	 -1.31	Alniyat
    3649	 HD 204867  	21 28 55.6	-05 47 32	 2.89	 1.38	 0.82	-0.60	 -1.05	Sadalsuud
    2603	 HD 143018  	15 55 49.3	-25 58 17	 2.91	-1.09	-0.20	 0.09	  0.29	PiScorpii
     444	 HD  18925  	03 01 09.5	+53 18 43	 2.93	 1.15	 0.70	-0.59	 -1.04	GammaPersei
     575	 HD  25025  	03 55 41.6	-13 38 57	 2.94	 3.58	 1.60	-1.26	 -2.26	Zaurak
    2138	 HD 108767  	12 27 16.3	-16 14 12	 2.94	-0.14	-0.05	 0.05	  0.09	Algorab
    3712	 HD 209750  	22 03 12.9	-00 33 47	 2.94	 1.71	 0.96	-0.67	 -1.18	Sadalmeilk
    2894	 HD 158427  	17 27 58.3	-49 50 18	 2.95	-0.86	-0.17	 0.10	  0.34	AlphaArae
    3795	 HD 215182  	22 40 39.2	+29 57 32	 2.95	 1.43	 0.86	-0.64	 -1.12	Matar
    1271	 HD  48329  	06 40 51.3	+25 10 55	 2.98	 2.87	 1.41	-0.97	 -1.58	Mebsuta
    1744	 HD  84441  	09 43 00.9	+24 00 18	 2.98	 1.25	 0.81	-0.62	 -1.05	RasElased
    2095	 HD 105707  	12 07 32.9	-22 20 29	 2.98	 2.81	 1.34	-0.93	 -1.57	Minkar
     757	 HD  31964  	04 58 22.4	+43 45 03	 2.99	 0.87	 0.54	-0.52	 -0.97	AlAnz
    2999	 HD 165135  	18 02 35.7	-30 25 36	 2.99	 1.78	 1.01	-0.73	 -1.24	Nash
    3233	 HD 177724  	19 03 06.6	+13 47 15	 2.99	 0.00	 0.01	-0.01	 -0.01	Denebel
     282	 HD  13161  	02 06 33.5	+34 45 05	 3.00	 0.26	 0.14	-0.14	 -0.22
    2256	 HD 115659  	13 16 11.7	-22 54 28	 3.00	 1.58	 0.92	-0.60	 -1.07
     522	 HD  22928  	03 39 21.2	+47 37 45	 3.01	-0.63	-0.12	-0.02	  0.09
    1958	 HD  96833  	11 06 51.5	+44 46 12	 3.01	 2.26	 1.14	-0.83	 -1.40
    3698	 HD 207971  	21 50 54.3	-37 36 02	 3.01	-0.49	-0.12	 0.05	  0.11
    1340	 HD  53138  	07 00 56.1	-23 45 31	 3.02	-0.88	-0.08	-0.01	  0.08
    2405	 HD 127762  	14 30 03.7	+38 31 33	 3.02	 0.31	 0.19	-0.14	 -0.22
     979	 HD  37202  	05 34 39.2	+21 06 49	 3.03	-0.81	-0.19	 0.03	  0.12
     326	 HD  14386  	02 16 49.0	-03 12 12	 3.05	 2.53	 1.42	-2.01	 -3.93
    1812	 HD  89758  	10 19 21.4	+41 45 05	 3.05	 3.48	 1.59	-1.29	 -2.25
    2847	 HD 156014  	17 12 21.9	+14 26 44	 3.06	 2.46	 1.45	-2.10	 -4.24
    3253	 HD 180711  	19 12 32.7	+67 34 23	 3.07	 1.78	 1.00	-0.70	 -1.21
    3310	 HD 183912  	19 28 42.2	+27 51 11	 3.08	 1.75	 1.13	-0.87	 -1.53
    3497	 HD 193495  	20 18 12.1	-14 56 25	 3.08	 1.06	 0.79	-0.55	 -1.05
    1642	 HD  76294  	08 52 45.0	+06 08 11	 3.10	 1.82	 1.00	-0.71	 -1.20
    1908	 HD  93813  	10 47 09.3	-15 55 52	 3.11	 2.51	 1.24	-0.94	 -1.58
    3064	 HD 167618  	18 14 14.6	-36 46 44	 3.11	 3.26	 1.56	-1.56	 -2.88
    1056	 HD  39425  	05 49 11.7	-35 47 08	 3.12	 2.37	 1.16	-0.85	 -1.43
    2850	 HD 156164  	17 12 58.5	+24 53 47	 3.13	 0.16	 0.08	-0.05	 -0.08
    1653	 HD  76644  	08 55 47.6	+48 14 21	 3.14	 0.26	 0.19	-0.22	 -0.29
    1693	 HD  80493  	09 18 00.7	+34 36 17	 3.14	 3.49	 1.55	-1.23	 -2.13
    2017	 HD 100841  	11 33 27.7	-62 44 33	 3.14	-0.18	-0.04	-0.04	 -0.03
    1226	 HD  47670  	06 36 13.8	-43 09 05	 3.17	-0.52	-0.11	 0.00	  0.07
    2838	 HD 155763  	17 08 38.1	+65 46 33	 3.17	-0.54	-0.11	 0.06	  0.18
     727	 HD  30652  	04 47 07.3	+06 52 31	 3.18	 0.44	 0.45	-0.41	 -0.67
     770	 HD  32630  	05 03 00.2	+41 10 07	 3.18	-0.85	-0.18	 0.05	  0.22
     771	 HD  32887  	05 03 20.5	-22 26 11	 3.18	 3.23	 1.46	-1.10	 -1.91
    1716	 HD  82328  	09 29 31.4	+51 54 21	 3.18	 0.49	 0.46	-0.44	 -0.71
    2851	 HD 156283  	17 13 18.2	+36 51 50	 3.18	 3.10	 1.43	-0.96	 -1.69
    2425	 HD 128898  	14 38 26.3	-64 45 31	 3.19	 0.36	 0.24	-0.23	 -0.33
    2807	 HD 153210  	16 55 17.9	+09 27 03	 3.20	 2.32	 1.16	-0.84	 -1.38
    2472	 HD 133216  	15 01 08.2	-25 05 12	 3.21	 3.65	 1.70	-1.61	 -2.88
    3617	 HD 202109  	21 10 48.3	+30 01 14	 3.21	 1.75	 0.99	-0.69	 -1.17
    3458	 HD 191692  	20 08 43.5	-00 58 16	 3.22	-0.19	-0.07	 0.07	  0.11
    2664	 HD 146791  	16 15 40.3	-04 34 18	 3.23	 1.72	 0.98	-0.69	 -1.18
    3647	 HD 205021  	21 28 01.3	+70 20 26	 3.23	-1.18	-0.22	 0.10	  0.32
    3207	 HD 176437  	18 57 04.3	+32 37 10	 3.24	-0.13	-0.05	 0.03	  0.04
    1430	 HD  59717  	07 27 38.5	-43 11 56	 3.25	 3.29	 1.52	-1.21	 -2.13
    3090	 HD 168723  	18 18 43.2	-02 54 47	 3.25	 1.59	 0.94	-0.70	 -1.20
     559	 HD  24512  	03 47 59.4	-74 23 32	 3.26	 3.61	 1.62	-1.34	 -2.44
    2869	 HD 157056  	17 18 56.1	-24 57 03	 3.26	-1.08	-0.23	 0.12	  0.32
    1842	 HD  91465  	10 30 14.4	-61 25 38	 3.27	-0.81	-0.09	-0.05	  0.01
      98	 HD   3627  	00 36 38.7	+30 35 14	 3.28	 2.76	 1.28	-0.92	 -1.58
     690	 HD  29305  	04 32 54.7	-55 08 50	 3.28	-0.45	-0.10	 0.01	  0.10
    1115	 HD  42995  	06 11 51.4	+22 31 21	 3.28	 3.27	 1.61	-1.49	 -2.80
    2344	 HD 123123  	14 03 31.0	-26 26 31	 3.28	 2.17	 1.13	-0.88	 -1.43
    3820	 HD 216627  	22 51 59.9	-16 05 14	 3.28	 0.13	 0.05	-0.07	 -0.11
     799	 HD  33904  	05 10 40.9	-16 15 46	 3.29	-0.51	-0.11	 0.01	  0.13
    2522	 HD 137759  	15 23 48.6	+59 08 26	 3.29	 2.39	 1.16	-0.78	 -1.38
     148	 HD   6595  	01 03 51.3	-46 59 08	 3.30	 1.45	 0.89	-0.71	 -1.22
    1498	 HD  63700  	07 47 11.3	-24 43 57	 3.30	 2.42	 1.26	-0.87	 -1.42
    2109	 HD 106591  	12 12 57.5	+57 18 35	 3.31	 0.15	 0.08	-0.06	 -0.06
    3236	 HD 177716  	19 03 49.1	-27 44 42	 3.31	 2.34	 1.20	-0.87	 -1.46
    1792	 HD  89080  	10 12 33.0	-69 47 20	 3.33	-0.41	-0.08	-0.04	 -0.01
    2837	 HD 155203  	17 08 33.9	-43 10 30	 3.33	 0.50	 0.41	-0.36	 -0.56
    2971	 HD 163917  	17 56 16.3	-09 46 09	 3.34	 1.86	 0.99	-0.70	 -1.18
     836	 HD  35411  	05 21 57.6	-02 26 27	 3.35	-1.10	-0.17	 0.09	  0.30
    1974	 HD  97633  	11 11 37.0	+15 42 10	 3.35	 0.05	-0.02	-0.03	 -0.01
    3732	 HD 210745  	22 09 06.9	+57 57 14	 3.35	 3.27	 1.55	-1.08	 -1.86
     623	 HD  27256  	04 13 46.5	-62 35 54	 3.36	 1.54	 0.91	-0.65	 -1.09
    1277	 HD  48737  	06 42 28.9	+12 57 03	 3.36	 0.49	 0.43	-0.39	 -0.62
    3294	 HD 182640  	19 22 58.5	+03 00 48	 3.36	 0.36	 0.32	-0.25	 -0.41
     249	 HD  11415  	01 50 46.3	+63 25 29	 3.37	-0.76	-0.15	 0.03	  0.15
    1622	 HD  74874  	08 44 07.6	+06 36 08	 3.38	 1.05	 0.68	-0.60	 -0.99
    2211	 HD 112300  	12 53 04.9	+03 40 06	 3.38	 3.38	 1.59	-1.52	 -2.85
    2292	 HD 118098  	13 32 08.5	-00 20 26	 3.38	 0.20	 0.12	-0.07	 -0.13
     445	 HD  19058  	03 01 57.9	+38 38 52	 3.39	 3.44	 1.65	-1.80	 -3.42
     579	 HD  25204  	03 57 54.4	+12 21 02	 3.41	-0.75	-0.12	 0.03	  0.12
    1777	 HD  87737  	10 04 36.4	+17 00 24	 3.41	-0.24	-0.02	-0.09	 -0.06
    1799	 HD  89025  	10 13 54.7	+23 40 01	 3.41	 0.48	 0.31	-0.32	 -0.50
    3790	 HD 214923  	22 38 57.9	+10 34 10	 3.41	-0.31	-0.08	 0.02	  0.09
     248	 HD  11443  	01 50 13.3	+29 20 09	 3.42	 0.54	 0.48	-0.42	 -0.70
    1587	 HD  71369  	08 26 07.6	+60 53 13	 3.42	 1.37	 0.85	-0.66	 -1.11
    2935	 HD 161797  	17 44 30.0	+27 44 54	 3.42	 1.14	 0.75	-0.53	 -0.91
    3181	 HD 174638  	18 48 14.0	+33 18 12	 3.42	-0.57	 0.00	-0.11	 -0.13
    2319	 HD 120324  	13 46 35.6	-42 13 31	 3.43	-1.06	-0.16	-0.02	  0.07
    3235	 HD 177756  	19 03 35.7	-04 57 33	 3.43	-0.36	-0.09	 0.03	  0.12
    3561	 HD 198149  	20 44 16.4	+61 38 38	 3.43	 1.53	 0.92	-0.67	 -1.16
     120	 HD   4614  	00 46 03.6	+57 33 02	 3.44	 0.60	 0.58	-0.50	 -0.86
